Brand,Price,Photo,Model Number,Made In,Warranty,Available Colors,Body Type,Engine Type,Engine Power,Torque,No. of Cylinders,Charger,Maximum Speed,Acceleration Time (0-100 kmph),Transmission Type,Drive Type,Gear Box,Steering Type,Steering Gear Type,Front Suspension,Back Suspension,Length,Width,Height,Wheel Base,Ground Clearance,Kerb Weight,Tyre Size,Wheel Size,Front Brake,Rear Brake,Mileage in City,Mileage on Highway,Fuel Type,Seating Capacity,Fuel Tank Capacity (Litres),No. of Doors,Air Conditioner,Heater,AntiLock Braking System,Central Locking,Power Steering,Power Windows,Leather Seats,Anti-Lock Braking,Brake Assist,Central Locking,Power Door Locks,Child Safety Locks,Night Rear View Mirror,Rear Seat Belts,Door Ajar Warning,Adjustable Seats,Crash Sensor,Engine Check Warning,Rear Camera,Anti-Theft Device,Touch Screen,Audio System Remote Control,Speakers Front & back,Bluetooth Connectivity,USB & Auxiliary Input,Adjustable Steering Column,Height Adjustable Driving Seat,Digital Clock,Smoke Headlamps,Electric Folding Rear View Mirror,Automatic Climate Control,Low Fuel Warning Light,Parking Sensors,Bottle Holder,Voice Control,Minimum Turning Radius,Tyre Type,Seat Belt Warning,Vehicle Stability Control System,Engine Immobilizer,Rear Reading Lamp,Fuel System,Radio,Outside Temperature Display,Valve Configuration,Fog Lights Front & Back,Centrally Mounted Fuel Tank,CD Player,DVD Player,Electric Adjustable Seats,Keyless Entry,Boot Space,Tyre Pressure Monitor,Smart Access Card Entry,Assembled In,Displacement (cc),Xenon Headlamps,Halogen Headlamps,Shock Absorbers Type,Removable/Convertible Top,Introduction Date,Cassette Player
Hyundai,"26,130",https://www.ccarprice.com/products/Hyundai_Tucson_Hybrid_2022.jpg,Tucson Hybrid 2022,Hyundai motor company,"5 Years / 60,000 Miles Basic , 7 Years / Unlimited Miles Corrosion , 10 Years / 100,000 Miles Drivetrain , 3 Years / 36,000 Miles Maintenance , and 5 Years / Unlimited Miles Roadside Assistance warranty.","Amazon Gray, Calypso Red, Deep Sea, Intense Blue, Phantom Black, Portofino Gray, Shimmering Silver, and Quartz White.",SUV,1.6L Turbo Inline-4 Hybrid,226 hp @ 5500 rpm,258 lb-ft @ 1500 rpm,4,Yes  Battery Size: 1.49 kWh,,,Automatic,All-Wheel Drive,6-Speed,Power,Rack-Pinion,Strut,Multi-link,182.3 in,73.4 in,65.6 in,108.5 in,8.3 in,"3,644 lbs",P235/65HR17,17 in x 7 in,Disc,Disc,38 MPG,38 MPG,Hybrid,5 seater,13.7 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,38.6 ft,Tubeless,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,
Hyundai,"30,900",https://www.ccarprice.com/products/Hyundai_Tucson_Hybrid_2023.jpg,Tucson Hybrid 2023,Hyundai motor company,"5 Years / 60,000 Miles Basic , 7 Years / Unlimited Miles Corrosion , 10 Years / 100,000 Miles Drivetrain , 3 Years / 36,000 Miles Maintenance , and 5 Years / Unlimited Miles Roadside Assistance warranty.","Amazon Gray, Calypso Red, Deep Sea, Intense Blue, Phantom Black, Portofino Gray, Shimmering Silver, and Quartz White.",SUV,1.6L Turbo Inline-4 Hybrid,226 hp @ 5500 rpm,258 lb-ft @ 1500 rpm,4,Yes  Battery Size: 1.49 kWh,,,Automatic,All-Wheel Drive,6-Speed,Power,Rack-Pinion,Strut,Multi-link,182.3 in,73.4 in,65.6 in,108.5 in,8.3 in,"3,644 lbs",P235/65HR17,17 in x 7 in,Disc,Disc,38 MPG,38 MPG,Hybrid,5 seater,13.7 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,38.6 ft,Tubeless,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,
Hyundai,"26,950",https://www.ccarprice.com/products/Hyundai_Tucson_2023.jpg,Tucson 2023,Hyundai motor company,"5 Years / 60,000 Miles Basic , 7 Years / Unlimited Miles Corrosion , 10 Years / 100,000 Miles Drivetrain , 3 Years / 36,000 Miles Maintenance , and 5 Years / Unlimited Miles Roadside Assistance warranty.","Amazon Gray, Calypso Red, Deep Sea, Intense Blue, Phantom Black, Portofino Gray, Shimmering Silver, and Quartz White.",SUV,2.5L Inline-4 Gas,187 hp @ 6100 rpm,178 lb-ft @ 4000 rpm,4,,,,Automatic,All-Wheel Drive,8-Speed,Power Steering,Rack-Pinion,Strut,Multi-link,182.3 in,73.4 in,65.6 in,108.5 in,8.3 in,"3,457 lbs",P235/65HR17,17 in x 7 in,Discs,Discs,24 MPG,24 MPG,Gasoline,5 seater,14.3 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,Yes,38.6 ft,,Yes,Yes,,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,
Hyundai,"27,950",https://www.ccarprice.com/products/Hyundai_Sonata_Hybrid_2023.jpg,Sonata Hybrid 2023,Hyundai motor company,"5 Years / 60,000 Miles Basic , 7 Years / Unlimited Miles Corrosion , 10 Years / 100,000 Miles Drivetrain , 3 Years / 36,000 Miles Maintenance , 5 Years / Unlimited Miles Roadside Assistance warranty.","Calypso Red, Hampton Gray, Nocturne Black, Oxford Blue, Portofino Gray, Shimmering Silver, and Hyper White.",Sedan,2.0-liter Inline-4 Hybrid,150 hp @ 6000 rpm,139 lb-ft @ 5000 rpm,4,Yes Battery Size: 1.62 kWh,242 km/h,0-100 km/h in 7.3 seconds,Automatic,Front-Wheel Drive,6-Speed,Power,Rack-Pinion,Strut,Multi-Link,192.9 in,73.2 in,56.9 in,111.8 in,5.3 in,"3,325 lbs",P205/65HR16,16 in x 6.5 in,Discs,Discs,50 MPG,54 MPG,Hybrid,5 seater,13.2 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,,36 ft,Tubeless,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,
Hyundai,"40,450",https://www.ccarprice.com/products/Hyundai_Santa_Fe_Hybrid_2023_1.jpg,Santa Fe Hybrid 2023,Hyundai motor company,"5 Years / 60,000 Miles Basic, 7 Years / Unlimited Miles Corrosion, 10 Years / 100,000 Miles Drivetrain and 5 Years / Unlimited Miles Roadside Assistance warranty","Lagoon Blue, Portofino Gray, Shimmering Silver, Twilight Black, and Quartz White.",SUV,1.6L Turbo Inline-4 Hybrid,225 hp @ 5500 rpm,195 lb-ft,4,,,,Automatic,All-Wheel Drive,6-Speed,Power,Rack-Pinion,Strut,Multi-Link,188.4 in,74.8 in,66.3 in,108.9 in,8.2 in,"4,078 lbs",P235/65TR17,17 in x 7 in Aluminum Wheels,Discs,Discs,36 MPG,31 MPG,Hybrid,5 seater,17.7 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,37.4 ft,,,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,,,,Yes,,,,
Hyundai,"28,200",https://www.ccarprice.com/products/Hyundai_Santa_Fe_2023.jpg,Santa Fe 2023,South Korea,"Basic: 4 years / 40,000 miles","Hampton Gray, Portofino , Gray, Shimmering Silver, Stormy Sea, Twilight Black",SUV,2.5 L Inline Gas,191 hp @ 6100 rpm,181 lb-ft @ 4000 rpm,4,Turbo,,,Automatic,Front-Wheel Drive,8-Speed,Power,Rack-Pinion,Strut,Multi-Link,188.4 in,74.8 in,66.3 in,108.9 in,8.2 in,"3,649 lbs",P235/60TR18,18 in x 7.5 in,Discs,Discs,25 MPG,28 MPG,Gasoline,5 seater,18.8 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,37.4 ft,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
Hyundai,"35,810",https://www.ccarprice.com/products/Hyundai_Santa_Cruz_2023_Price.jpg,Santa Cruz 2023,Hyundai motor company,"5 Years / 60,000 Miles Basic, 7 Years / Unlimited Miles Corrosion, 10 Years / 100,000 Miles Drivetrain and 5 Years / Unlimited Miles Roadside Assistance warranty","Blue Stone, Hampton Gray, Ice White, Mojave Sand, Phantom Black, and Sage Gray.",SUV,2.5L Inline-4 Gas,191 hp @ 6100 rpm,181 lb-ft @ 4000 rpm,4,,,,Automatic,Front-Wheel Drive,8-Speed,Rack-Pinion,,,,195.7 in,75 in,66.7 in,118.3 in,,"3,704 lbs",P245/60HR18,18 in x 7.5 in,Discs,Discs,21 MPG,26 MPG,Gasoline,5 seater,17.7 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,40 ft,,,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,,Yes,,,,,,,Yes,,,,
Hyundai,"34,950",https://www.ccarprice.com/products/Hyundai_Palisade_2023.jpg,Palisade SE 2023,Hyundai motor company,"Basic: 5 Years / 60000 Miles , Corrosion: 7 Years / Unlimited Miles , Drivetrain: 10 Years / 100000 Miles , Maintenance: 3 Years / 36000 Miles and Roadside Assistance: 5 Years / Unlimited Miles","Abyss Black Pearl, Moonlight Cloud, Rainforest, Sierra Burgundy, Steel Graphite, Typhoon Silver, and Hyper White.",SUV,3.8-liter V6 Gas,291 hp @ 6000 rpm,262 lb-ft @ 5200 rpm,V6,,,,Automatic,All-Wheel Drive,8-Speed,Power,Rack-Pinion,Strut,Multi-Link,196.1 in,77.8 in,68.9 in,114.2 in,7.9 in,"4,284 lbs",P245/60TR18,18 in x 7.5 in Aluminum Wheels,Disc,Disc,19 City,24 Hwy,Gasoline,8 seater,18.8 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,,38.7 ft,,Yes,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,,,
Hyundai,"34,700",https://www.ccarprice.com/products/Hyundai_Kona_N_2023.jpg,Kona N 2023,Hyundai motor company,"5 Years / 60,000 Miles Basic , 7 Years / Unlimited Miles Corrosion , 10 Years / 100,000 Miles Drivetrain , 3 Years / 36,000 Miles Maintenance , 5 Years / Unlimited Miles Roadside Assistance warranty.","Chalk White, Lunar White, Pulse Red, Sonic Silver, Surf Blue, Thunder Gray, and Ultra Black.",SUV,2.0L Turbo Inline-4 Gas,275 hp,221 lb-ft,,Turbo,,,Automatic,All-Wheel Drive,8-Speed,Power Steering,Rack-Pinion,Strut,Multi-Link,164 in,70.9 in,61.2 in,102.4 in,6.7 in,"3,062 lbs",P235/45HR18,18 in x 7.5 in,Disc,Disc,28 MPG,32 MPG,Petrol,5 seater,13.2 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,34.8 ft,,Yes,Yes,,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,
Hyundai,"35,300",https://www.ccarprice.com/products/Hyundai_Kona_Electric_2023.jpg,Kona Electric 2023,,"5 Years / 60,000 Miles Basic , 7 Years / Unlimited Miles Corrosion , 10 Years / 100,000 Miles Drivetrain , 3 Years / 36,000 Miles Maintenance , 5 Years / Unlimited Miles Roadside Assistance warranty.","Blue Wave w/Black Rook, Cactus Fern w/Black Roof, Galactic Gray w/Black Roof, Lunar White w/Black Roof, Pulse Red w/Black Roof, Ultra Black, and Lunar White.",SUV,Electric,201 hp @ 3600 rpm,291 lb-ft,,"Yes  Battery Size: 64 kWh  Charge Time: 9.25 Hrs Charge Time @ 220/240V, 1.07 Hrs Charge Time @ 440V",,,Automatic,Front-Wheel Drive,Single Speed,Power,Rack-Pinion,Strut,Multi-Link,165.6 in,70.9 in,61.2 in,102.4 in,6.2 in,"3,715 lbs",P215/55HR17,17 in x 7 in,Disc,Disc,132 MPGE,108 MPGE,,5 seater,,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,34.8 ft,,Yes,,Yes,Yes,,Yes,,,,,,,,Yes,,,,,,,,,,,
Hyundai,"21,990",https://www.ccarprice.com/products/Hyundai_Kona_2023.jpg,Kona 2023,Hyundai motor company,"5 Years / 60,000 Miles Basic , 7 Years / Unlimited Miles Corrosion , 10 Years / 100,000 Miles Drivetrain , 3 Years / 36,000 Miles Maintenance , 5 Years / Unlimited Miles Roadside Assistance warranty.","Blue Wave, Cactus Fern, Cyber Silver, Pulse Red, Teal Isle, Thunder Gray, Lunar White, and Ultra Black.",SUV,2.0L Inline-4 Gas,147 hp @ 6200 rpm,132 lb-ft @ 4500 rpm,4,Turbo,,,Automatic,Front-Wheel Drive,7-Speed,Power Steering,Rack-Pinion,Strut,Torsion Beam,165.6 in,70.9 in,61 in,102.4 in,6.7 in,"2,899 lbs",P205/60HR16,16 in x 6.5 in,Disc,Disc,30 MPG,35 MPG,Gasoline,5 seats,13.2 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,34.8 ft,,Yes,Yes,,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,
Hyundai,"24,400",https://www.ccarprice.com/products/Hyundai_Elantra_Hybrid_2023.jpg,Elantra Hybrid 2023,South korea,"5 Years / 60,000 Miles Basic , 7 Years / Unlimited Miles Corrosion , 10 Years / 100,000 Miles Drivetrain , 3 Years / 36,000 Miles Maintenance , and 5 Years / Unlimited Miles Roadside Assistance warranty.","Ceramic White, Electric Shadow, Fluid Metal, Intense Blue, Phantom Black, and Scarlet Red Pearl.",Sedan,1.6L Inline-4 Hybrid,139 hp @ 5700 rpm,195 lb-ft,4,Battery Size: 1.32 kWh,,,Automatic,Front-Wheel Drive,6-Speed,Power,Rack-Pinion,Strut,Torsion Beam,184.1 in,71.9 in,55.7 in,107.1 in,5.3 in,"2,965 lbs",P205/55HR16,16 in x 6.5 in,Discs,Discs,53 MPG,56 MPG,Hybrid,5 seater,12.4 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,17.7 ft,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,Yes,,,,,,,,,,,
Hyundai,"26,780",https://www.ccarprice.com/products/Hyundai_Creta_SX_Opt_Turbo_Dualtone_2022.jpg,Creta SX Opt Turbo Dualtone 2022,Japan,"Basic: 5 Years / 60,000 Miles Basic, 7 Years / 100,000 Miles Corrosion, 10 Years / 100,000 Miles Drivetrain, and 5 Years / Unlimited Miles Roadside Assistance","Intense Red, Glacier White Pearl, Beige Gold With Aurora Black Pearl, Steel Silver, Aurora Black Pearl, Beige Gold, Intelligence Blue, Glacier White Pearl With Aurora Black Pearl, Gravity Gray and Intense Red With Aurora Black Pearl.",SUV,1.5 L U2 CRDi Diesel,[email protected],[email protected],4 Cylinders,,,,Automatic,Front Wheel Drive,6 Speed,Power,,McPherson strut with coil spring,Coupled torsion beam axle,4300 mm,1790 mm,1635 mm,2610 mm,,TBC,215/ 60 R17,R17,Discs,Discs,TBC,TBC,Petrol,5 Seaters,,4 Doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,30.2 ft,,Yes,,Yes,Yes,,,Yes,,,,,,,,392 liters,,,,,,,,,,
Hyundai,"25,420",https://www.ccarprice.com/products/Hyundai_Creta_SX_Opt_Knight_IVT_DT_2022.jpg,Creta SX Opt Knight IVT DT 2022,Japan,"Basic: 5 Years / 60,000 Miles Basic, 7 Years / 100,000 Miles Corrosion, 10 Years / 100,000 Miles Drivetrain, and 5 Years / Unlimited Miles Roadside Assistance","Intense Red, Glacier White Pearl, Beige Gold With Aurora Black Pearl, Steel Silver, Aurora Black Pearl, Beige Gold, Intelligence Blue, Glacier White Pearl With Aurora Black Pearl, Gravity Gray and Intense Red With Aurora Black Pearl.",SUV,1.5 L U2 CRDi Diesel,[email protected],[email protected],4 Cylinders,,,,Automatic,Front Wheel Drive,6 Speed,Power,,McPherson strut with coil spring,Coupled torsion beam axle,4300 mm,1790 mm,1635 mm,2610 mm,,TBC,215/ 60 R17,R17,Discs,Discs,TBC,TBC,Petrol,5 Seaters,,4 Doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,30.2 ft,,Yes,,Yes,Yes,,,Yes,,,,,,,,392 liters,,,,,,,,,,
Hyundai,"25,420",https://www.ccarprice.com/products/Hyundai_Creta_SX_Opt_Knight_IVT_2022.jpg,Creta SX Opt Knight IVT 2022,Japan,"Basic: 5 Years / 60,000 Miles Basic, 7 Years / 100,000 Miles Corrosion, 10 Years / 100,000 Miles Drivetrain, and 5 Years / Unlimited Miles Roadside Assistance","Intense Red, Glacier White Pearl, Beige Gold With Aurora Black Pearl, Steel Silver, Aurora Black Pearl, Beige Gold, Intelligence Blue, Glacier White Pearl With Aurora Black Pearl, Gravity Gray and Intense Red With Aurora Black Pearl.",SUV,1.5 L U2 CRDi Diesel,[email protected],[email protected],4 Cylinders,,,,Automatic,Front Wheel Drive,6 Speed,Power,,McPherson strut with coil spring,Coupled torsion beam axle,4300 mm,1790 mm,1635 mm,2610 mm,,TBC,215/ 60 R17,R17,Discs,Discs,TBC,TBC,Petrol,5 Seaters,,4 Doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,30.2 ft,,Yes,,Yes,Yes,,,Yes,,,,,,,,392 liters,,,,,,,,,,
Hyundai,"16,900",https://www.ccarprice.com/products/Hyundai_Creta_EX_2022.jpg,Creta EX 2022,Japan,"Basic: 5 Years / 60,000 Miles Basic, 7 Years / 100,000 Miles Corrosion, 10 Years / 100,000 Miles Drivetrain, and 5 Years / Unlimited Miles Roadside Assistance","Intense Red, Glacier White Pearl, Beige Gold With Aurora Black Pearl, Steel Silver, Aurora Black Pearl, Beige Gold, Intelligence Blue, Glacier White Pearl With Aurora Black Pearl, Gravity Gray and Intense Red With Aurora Black Pearl.",SUV,1.5 L U2 CRDi Diesel,[email protected],[email protected],4 Cylinders,,,,Automatic,Front Wheel Drive,6 Speed,Power,,McPherson strut with coil spring,Coupled torsion beam axle,4300 mm,1790 mm,1635 mm,2610 mm,,TBC,215/ 60 R17,R17,Discs,Discs,TBC,TBC,Petrol,5 Seaters,,4 Doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,30.2 ft,,Yes,,Yes,Yes,,,Yes,,,,,,,,392 liters,,,,,,,,,,
Hyundai,"26,780",https://www.ccarprice.com/products/Hyundai_Creta_SX_Opt_Turbo_2022.jpg,Creta SX Opt Turbo 2022,Japan,"Basic: 5 Years / 60,000 Miles Basic, 7 Years / 100,000 Miles Corrosion, 10 Years / 100,000 Miles Drivetrain, and 5 Years / Unlimited Miles Roadside Assistance","Intense Red, Glacier White Pearl, Beige Gold With Aurora Black Pearl, Steel Silver, Aurora Black Pearl, Beige Gold, Intelligence Blue, Glacier White Pearl With Aurora Black Pearl, Gravity Gray and Intense Red With Aurora Black Pearl.",SUV,1.5 L U2 CRDi Diesel,[email protected],[email protected],4 Cylinders,,,,Automatic,Front Wheel Drive,6 Speed,Power,,McPherson strut with coil spring,Coupled torsion beam axle,4300 mm,1790 mm,1635 mm,2610 mm,,TBC,215/ 60 R17,R17,Discs,Discs,TBC,TBC,Petrol,5 Seaters,,4 Doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,30.2 ft,,Yes,,Yes,Yes,,,Yes,,,,,,,,392 liters,,,,,,,,,,
Hyundai,"25,110",https://www.ccarprice.com/products/Hyundai_Alcazar_Platinum_7_Seater_Diesel_AT_2022.jpg,Alcazar Platinum 7 Seater Diesel AT 2022,South Korean,"5 Years / 60,000 Miles Basic, 7 Years / Unlimited Miles Corrosion, 10 Years / 100,000 Miles Drivetrain, 3 Years / 36,000 Miles Maintenance, and 5 Years / Unlimited Miles Roadside Assistance warranty","Titan Grey With Phantom Black Roof, Typhoon Silver, Phantom Black, Taiga Brown, Polar White with Phantom, Starry Night, Titan Grey",SUV,1.5 l diesel CRDi,[email protected],[email protected],4 Cylinders,Yes,,,Manual,Front Wheel Drive,6 Speed,Power,Tilt & Telescopic,McPherson strut with coil spring,Coupled torsion beam axle,4500 mm,1790 mm,1675 mm,2760 mm,156 mm,1360 kg,P215/55R18,18 in,Discs,Discs,16.0 MPG,19.0 MPG,Diesel,7 Seaters,50.0 gallons,5 Doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,36 ft,,Yes,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,
Hyundai,"23,440",https://www.ccarprice.com/products/Hyundai_Creta_SX_VT_2022.jpg,Creta SX IVT 2022,South Korean,"Basic: 5 Years / 60,000 Miles Basic, 7 Years / 100,000 Miles Corrosion, 10 Years / 100,000 Miles Drivetrain, and 5 Years / Unlimited Miles Roadside Assistance","Intense Red, Glacier White Pearl, Beige Gold With Aurora Black Pearl, Steel Silver, Aurora Black Pearl, Beige Gold, Intelligence Blue, Glacier White Pearl With Aurora Black Pearl, Gravity Gray and Intense Red With Aurora Black Pearl.",SUV,1.5 L U2 CRDi Diesel,[email protected],[email protected],4 Cylinders,,,,Automatic,Front Wheel Drive,6-Speed,Power,,McPherson strut with coil spring,Coupled torsion beam axle,4300 mm,1790 mm,1635 mm,2610 mm,,TBC,215/60 R17,R17,Discs,Discs,TBC,TBC,Petrol,5 Seaters,,4 Doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,30.2 ft,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,392 liters,,,,,,,,,,
Hyundai,"19,890",https://www.ccarprice.com/products/Hyundai_Alcazar_Prestige_Executive_7_Seater_2022.jpg,Alcazar Prestige Executive 7 Seater 2022,South Korean,3 year,"Titan Grey With Phantom Black Roof, Typhoon Silver, Phantom Black, Taiga Brown, Polar White with Phantom, Starry Night, Titan Grey",SUV,2.0 l petrol MPi,[email protected],[email protected],4 Cylinders,Yes,,,Manual,Front Wheel Drive,6-Speed,Power,,McPherson strut with coil spring,Coupled torsion beam axle,4500 mm,1790 mm,1675 mm,2760 mm,,1825 Kg,215/60 R17,R17,Disc,Disc,16.0 MPG,19.0 MPG,Petrol,7 Seaters,50.0 gallons,4 Doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,4.4 ft,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,
Hyundai,"25,200",https://www.ccarprice.com/products/Hyundai_Creta_SX_Opt_IVT_2022.jpg,Creta SX Opt IVT 2022,Japan,"Basic: 5 Years / 60,000 Miles Basic, 7 Years / 100,000 Miles Corrosion, 10 Years / 100,000 Miles Drivetrain, and 5 Years / Unlimited Miles Roadside Assistance","Intense Red, Glacier White Pearl, Beige Gold With Aurora Black Pearl, Steel Silver, Aurora Black Pearl, Beige Gold, Intelligence Blue, Glacier White Pearl With Aurora Black Pearl, Gravity Gray and Intense R",SUV,1.5 L U2 CRDi Diesel,[email protected],[email protected],4 Cylinders,,,,Automatic,Front Wheel Drive,6-Speed,Power,,McPherson strut with coil spring,Coupled torsion beam axle,4300 mm,1790 mm,1635 mm,2610 mm,,TBC,215/60 R17,R17,Discs,Discs,TBC,TBC,Petrol,5 Seaters,,4 Doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,30.2 ft,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,392 liters,,,,,,,,,,
